Region Name	Campaign Name	Scenario Name	Map Area Name
"{サウスポート}

キャサリン女王はブラカーダの王ガヴィン・マグナスから軍事的な援助を得るべく旅立った。他の将軍たちも各々の使命を果たすべく各地に散っていった。君に課せられた使命は、活動の拠点を築き、この地域の戦士たちを糾合し、ナイオンの支配状況とその侵攻ルートを明らかにすることだ。"	Good1	G1a	Map Area 1
"{エンジェルゲート}

フェアフェザーの近くで天使が目撃されたという噂が報告された。これは調べる価値があるものだ。もし噂が真実なら、何としてもフェアフェザーの安全を確保し、できることなら天使たちに我らの盟友になってもらうのだ。彼らの協力が得られれば、君の戦力にとって大きなプラスになるだろう！"	Good1	G1b	Map Area 2
"{グリフォンクリフ}

現在、ナイオンとクリーガンの連合軍の支配下にあるグリフォンクリフ。エラシアのグリフォンはそのほとんどがこの地方の生まれである。幾世代もの昔、エラシア建国に重要な役割を果たしたグリフォン達。今、彼らにはエラシア奪回の鍵としての活躍が期待されている。"	Good1	G1c	Map Area 3
"{バトルステッド}

エラシア奪回の第一段階は、首都ステッドウィックをナイオンから解放することだ。だが、これは容易なことではない。なぜならば、ダンジョンのオーバーロードたちが、ステッドウィック渓谷に至る峠道を封鎖しているからだ。"	Good2	G2a	Map Area 1
"{イーオフォル}

イーオフォルの大元帥ルシファー・クリーガン三世からキャサリン女王の王宮に手紙が届けられた。「我らはキャサリンの夫でありエンロスの王でもあるローランド・アイアンフィストを人質として捕えている。ローランドの命が惜しくば身代金として金貨百万枚をわたせ。」そう手紙には書かれていた。"	Good2	G2b	Map Area 2
"{マーシュランド＆ヒルブリッジ}

ブラカーダからの使者が、彼らの王ガヴィン・マグナスのメッセージを携えてやって来た。暴虐の限りをつくしているタタリアとクリューロドから、西エラシアを取り戻す手伝いをしてくれるのだという。これで彼らに国境線の位置を教えてやることができるだろう。"	Good2	G2c	Map Area 3
"{グレインリッチ＆ファイヤーコースト}

ナイオンとイーオフォルがエラシアを攻め落とした手口はもはや明らかだ。ナイオン海峡の下にトンネルを掘り、エラシアの沿岸部に広がるドワーフ族のトンネルに侵入したのだ。彼らにはもう一度トンネルを通ってもらわねばなるまい。ただし、今度はエラシアから永久に出て行くためにだ！"	Good2	G2d	Map Area 4
"{マーシュランド}

タタリアのトゥラロスク王から、君に傭兵として働いてもらいたいという申し出があった。王は自分の国をただの沼地の辺境国で終わらせたくないと常々考えており、エラシアの注意が逸れている今こそ、タタリアの領土を広げる絶好の機会だと決断したのだ。"	Neutral1	N1a	Map Area 1
"{マインウェル}

クリューロドの指導者であるウィンストン・ボラガス公爵が、エラシア領内を繰り返し襲撃してくれる傭兵を求め、君に接触してきた。それによるとクリューロド軍は現在、「ある事」（それが何かは明かさなかったが）のために少しでも多くの軍資金を必要としているということだ。つまりエラシア領内で略奪してくることが君の仕事だ。"	Neutral1	N1b	Map Area 2
"{ヒルブリッジ}

タタリアのトゥラロスク王とクリューロドのボラガス公爵の両方が、君の力を求めている。どちらも用件は同じで、わずかに残っている土地の領有権を自分のものにしたいのだ。皮肉にも、問題の土地にはほとんど価値がない。どちらの国に味方するのも君の自由だ。判断は全て君に委ねられている。"	Neutral1	N1c	Map Area 3
"{フォレストロー}

グリフォンハート王を殺害した犯人を明らかにする重要な証拠を携え、一人のネクロマンサーがエラシアの前哨地を目指している。今のところは安全だが、その行く手には新王に忠誠を誓ったアンデッドたちが待ち構えている。君に課せられた使命は、このネクロマンサーを護衛し、旅を無事に終わらせることだ。"	Good3	G3a	Map Area 1
"{エメラルドヒルからウッドグローブにかけて}

エラシア、アヴリー、ブラカーダ、そして君たちと共にグリフォンハート王と戦うことを決意したネクロマンサーたちの軍勢が、君の命令を待っている。グリフォンハート王率いるアンデッド部隊は手強い敵だが、その侵攻は何としても阻止しなければならない！"	Good3	G3b	Map Area 2
"{マーブルガーデン}

今までの功績により、この国は息を吹き返そうとしている。しかし、グリフォンハート王が逃げ込んだ、死の軍勢にとって最後の砦を破壊しない限り、本当の安息はやってこない。これを最後の戦いにするために、今こそ死者を墓場に送り返すのだ。"	Good3	G3c	Map Area 3
"{ライオンポイント}

エラシアはアブリーのエルフたちの援助を得ようとしている。そこで我々は先手をうって、アブリーの力の源、すなわちゴールドドラゴンの女王を襲うことにした。エルフたちも最強の盟友を失ってしまっては、エラシアに手を貸すどころではなくなるはずだ。"	Evil1	E1a	Map Area 1
"{グレインリッチ}

ドワーフ族のトンネルを利用すれば、エラシアの都のすぐ近くまで軍勢を移動させることができる。奇襲の効果が失われないよう、行く手にあるエラシアの居住地は全て攻撃しなければならない。この地域に張り巡らされた広大なトンネル網を活用し使命を遂行しろ。"	Evil1	E1b	Map Area 2
"{バトルステッド}

今回の目的は、エラシアの都ステッドウィックの強襲だ。ただし、これは簡単なことではない。ステッドウィックは非常に守りやすい場所にあり、防備も万全だからだ。さらに悪いことに、キャサリン女王に率いられた軍勢が近づきつつあるという報告も入った。女王が到着する前に、何としてもステッドウィックを攻略するのだ！"	Evil1	E1c	Map Area 3
"{マーブルガーデン}

我々をエラシアから追放した張本人であるグリフォンハート王が死んだ。そしてナイオンとイーオフォルによる侵略は、我らに死者という戦士を与えてくれた。ついに我らにも、自ら軍勢を築いてエラシアに侵攻する機会が訪れたのだ。だが、何にもまして、我々には戦に長けた将軍が必要だ。君の今回の使命は、グリフォンハート王の墓を見つけ出すことだ。"	Evil2	E2a	Map Area 1
"{エメラルドヒル}

エラシア軍の注意を大して引くことなしに、十分な数のクリーチャーを我々の軍勢に加えられる格好の場所が、エラシアの国境付近に見つかった。君に課せられた任務は、彼らを集めて十分な軍勢を作り上げることだ。だが、ぐずぐずしている暇はない。我々には今すぐに軍勢が必要なのだ。"	Evil2	E2b	Map Area 2
"{ストロングウィロー＆ウッドグローブ}

エラシアを侵略するという栄誉に浴すことを望まない反抗的なデスナイトがいる。このデスナイトは戦いに加わらないでいさえすれば、この先も自分の領地は安定を保っていられると思っているのだ。ここで少し、この男に服従という言葉について教えてやるのも良いだろう。"	Evil2	E2c	Map Area 3
"{フォレストベリー}

時は至れり！リッチと化したグリフォンハート王は、今こそ総攻撃を開始すべきとの判断を下した。デイジャ全土から集めた軍勢でエラシアになだれ込み、敵を圧倒するのだ。君の攻撃地点はグリフォンハート王自らが決定する。すでに君は必ず勝つと誓いを立てている。"	Evil2	E2d	Map Area 4
